iShares Russell 3000 ETF,,,,,,,,,,,,,,
Fund Holdings as of,30-Apr-24,,,,,,,,,,,,,
Inception Date,22-May-00,,,,,,,,,,,,,
Shares Outstanding,"45,450,000.00",,,,,,,,,,,,,
Stock,-,,,,,,,,,,,,,
Bond,-,,,,,,,,,,,,,
Cash,-,,,,,,,,,,,,,
Other,-,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
PLD,PROLOGIS REIT INC,Real Estate,Equity,"25,389,223.60",0.19,"25,389,223.60","248,792.00",102.05,United States,New York Stock Exchange Inc.,USD,1,USD,-
KLAC,KLA CORP,Information Technology,Equity,"25,106,009.67",0.19,"25,106,009.67","36,423.00",689.29,United States,NASDAQ,USD,1,USD,-
FI,FISERV INC,Financials,Equity,"24,545,366.58",0.19,"24,545,366.58","160,774.00",152.67,United States,New York Stock Exchange Inc.,USD,1,USD,-
REGN,REGENERON PHARMACEUTICALS INC,Health Care,Equity,"24,543,917.62",0.19,"24,543,917.62","27,557.00",890.66,United States,NASDAQ,USD,1,USD,-
BMY,BRISTOL MYERS SQUIBB,Health Care,Equity,"24,061,368.24",0.18,"24,061,368.24","547,596.00",43.94,United States,New York Stock Exchange Inc.,USD,1,USD,-
PANW,PALO ALTO NETWORKS INC,Information Technology,Equity,"23,918,721.14",0.18,"23,918,721.14","82,226.00",290.89,United States,NASDAQ,USD,1,USD,-
CMG,CHIPOTLE MEXICAN GRILL INC,Consumer Discretionary,Equity,"23,330,486.40",0.18,"23,330,486.40","7,384.00","3,159.60",United States,New York Stock Exchange Inc.,USD,1,USD,-
CVS,CVS HEALTH CORP,Health Care,Equity,"23,315,261.40",0.18,"23,315,261.40","344,340.00",67.71,United States,New York Stock Exchange Inc.,USD,1,USD,-
WM,WASTE MANAGEMENT INC,Industrials,Equity,"22,799,824.08",0.17,"22,799,824.08","109,604.00",208.02,United States,New York Stock Exchange Inc.,USD,1,USD,-
BX,BLACKSTONE INC,Financials,Equity,"22,363,699.02",0.17,"22,363,699.02","191,782.00",116.61,United States,New York Stock Exchange Inc.,USD,1,USD,-
GILD,GILEAD SCIENCES INC,Health Care,Equity,"22,011,976.40",0.17,"22,011,976.40","337,607.00",65.2,United States,NASDAQ,USD,1,USD,-
SNPS,SYNOPSYS INC,Information Technology,Equity,"21,655,500.26",0.17,"21,655,500.26","40,814.00",530.59,United States,NASDAQ,USD,1,USD,-
TMUS,T MOBILE US INC,Communication,Equity,"21,643,351.95",0.17,"21,643,351.95","131,835.00",164.17,United States,NASDAQ,USD,1,USD,-
AMT,AMERICAN TOWER REIT CORP,Real Estate,Equity,"21,515,511.16",0.16,"21,515,511.16","125,411.00",171.56,United States,New York Stock Exchange Inc.,USD,1,USD,-
SO,SOUTHERN,Utilities,Equity,"21,498,750.00",0.16,"21,498,750.00","292,500.00",73.5,United States,New York Stock Exchange Inc.,USD,1,USD,-
MO,ALTRIA GROUP INC,Consumer Staples,Equity,"21,079,926.27",0.16,"21,079,926.27","481,167.00",43.81,United States,New York Stock Exchange Inc.,USD,1,USD,-
EOG,EOG RESOURCES INC,Energy,Equity,"20,943,265.65",0.16,"20,943,265.65","158,505.00",132.13,United States,New York Stock Exchange Inc.,USD,1,USD,-
DUK,DUKE ENERGY CORP,Utilities,Equity,"20,451,541.62",0.16,"20,451,541.62","208,137.00",98.26,United States,New York Stock Exchange Inc.,USD,1,USD,-
CL,COLGATE-PALMOLIVE,Consumer Staples,Equity,"20,370,391.20",0.16,"20,370,391.20","221,610.00",91.92,United States,New York Stock Exchange Inc.,USD,1,USD,-
